Title,Author,Year
To Kill a Mockingbird,Harper Lee,1960
1984,George Orwell,1949
Pride and Prejudice,Jane Austen,1813
The Great Gatsby,F. Scott Fitzgerald,1925
The Catcher in the Rye,J.D. Salinger,1951
The Hobbit,J.R.R. Tolkien,1937
Fahrenheit 451,Ray Bradbury,1953
Jane Eyre,Charlotte Brontë,1847
Brave New World,Aldous Huxley,1932
The Lord of the Rings,J.R.R. Tolkien,1954
Animal Farm,George Orwell,1945
Wuthering Heights,Emily Brontë,1847
Crime and Punishment,Fyodor Dostoevsky,1866
The Brothers Karamazov,Fyodor Dostoevsky,1880
Moby-Dick,Herman Melville,1851
War and Peace,Leo Tolstoy,1869
Great Expectations,Charles Dickens,1861
Little Women,Louisa May Alcott,1868
Les Misérables,Victor Hugo,1862
The Picture of Dorian Gray,Oscar Wilde,1890
Frankenstein,Mary Shelley,1818
Dracula,Bram Stoker,1897
Don Quixote,Miguel de Cervantes,1605
Alice's Adventures in Wonderland,Lewis Carroll,1865
The Count of Monte Cristo,Alexandre Dumas,1844
The Grapes of Wrath,John Steinbeck,1939
The Kite Runner,Khaled Hosseini,2003
The Alchemist,Paulo Coelho,1988
A Tale of Two Cities,Charles Dickens,1859
The Fault in Our Stars,John Green,2012
The Chronicles of Narnia,C.S. Lewis,1956
The Secret Garden,Frances Hodgson Burnett,1911
Gone with the Wind,Margaret Mitchell,1936
The Hunger Games,Suzanne Collins,2008
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
Life of Pi,Yann Martel,2001
The Handmaid's Tale,Margaret Atwood,1985
Slaughterhouse-Five,Kurt Vonnegut,1969
The Road,Cormac McCarthy,2006
The Bell Jar,Sylvia Plath,1963
The Outsiders,S.E. Hinton,1967
The Color Purple,Alice Walker,1982
Catch-22,Joseph Heller,1961
Beloved,Toni Morrison,1987
The Shining,Stephen King,1977
Invisible Man,Ralph Ellison,1952
Of Mice and Men,John Steinbeck,1937
One Hundred Years of Solitude,Gabriel García Márquez,1967
The Old Man and the Sea,Ernest Hemingway,1952
The Lion, the Witch and the Wardrobe,C.S. Lewis,1950
The Da Vinci Code,Dan Brown,2003